name,tier,trending,tag,composite_score,efficacy,safety,research,onset,cost,drug_interaction_inverse,description,dose,tips,cycle
"Vitamin B1 (Thiamine, clinical)",t2,False,Neurology · Alcohol recovery · Energy,88,4,5,4,4,5,5,Essential for glucose metabolism and nerve function. Deficiency causes beriberi and Wernicke encephalopathy — a neurological emergency. Alcohol depletes thiamine rapidly. A 2024 systematic review confirmed high-dose IV thiamine prevents irreversible brain damage in at-risk patients. Oral supplementation at 100–300 mg/day supports recovery. Extremely safe — no upper limit established.,100–300 mg/day oral for alcohol recovery or deficiency risk; 1.1–1.2 mg/day RDA for general health,Take with food. Water-soluble so toxicity is not a concern. Essential for anyone with high alcohol intake. Benfotiamine is the fat-soluble alternative for peripheral neuropathy.,
L-Leucine (standalone),t1,False,Muscle protein synthesis · mTOR · Sarcopenia · Leucine threshold,88,4,5,4,4,5,5,"The primary nutritional activator of mTORC1, the intracellular kinase complex that triggers muscle protein synthesis (MPS). A leucine threshold of approximately 2–3 g per meal is required to maximally stimulate MPS — meals providing less fail to build muscle regardless of total protein content. Adding 2.5 g L-leucine to a low-protein meal in older adults increases MPS to the same level as a high-protein meal. Particularly important for: vegans (plant proteins have 30–50% lower leucine content than animal proteins), adults over 65 (higher leucine threshold needed for equivalent MPS response), and those spreading protein across many small meals.",2–3 g pure L-leucine added to each protein meal or protein shake; older adults may need 3–4 g per serving,"Add to protein shakes, oatmeal, or low-protein meals to activate muscle protein synthesis. Particularly valuable for plant-based eaters — add to pea protein or rice protein shakes. For adults over 65, prioritise 3 g leucine per meal to overcome the anabolic resistance of aging.",Safe for continuous daily use indefinitely. Can be used with every protein-containing meal for maximum muscle-sparing effect.
Psyllium husk (Plantago ovata),t2,False,Cholesterol · Gut · Glucose,86,4,5,4,3,5,5,"One of the few supplements with FDA approval for a health claim: cholesterol reduction. A 2024 review of 28 trials found it significantly lowers bad cholesterol, blood sugar, and long-term blood sugar markers. Excellent safety record and very well tolerated. Start with a low dose and drink plenty of water to prevent bloating and constipation.",5–10 g/day in divided doses with plenty of water; start low to minimise bloating,Always take with a large glass of water (at least 240 mL). Take 1 hour before or 2 hours after meals and medications — psyllium can slow drug and mineral absorption. Start at 2–3 g/day and increase gradually to 10–15 g/day.,
Vitamin B1 (Thiamine),t2,False,Nerve function · Energy metabolism · Deficiency,86,4,5,4,3,5,5,"Essential for converting food into energy and for healthy nerve and heart function. Deficiency causes beriberi and Wernicke-Korsakoff syndrome, a serious neurological emergency most often seen in heavy drinkers. Long-term alcohol use, bariatric surgery, and diuretics all increase deficiency risk. Safe at recommended doses with no known toxicity ceiling since it is water-soluble.",1.1–1.2 mg/day standard; 50–100 mg/day for deficiency; high-dose IV for Wernicke encephalopathy,"Take with food or water at any time. Water-soluble, so excess is excreted. Heavy drinkers should supplement routinely. No significant drug or food interactions at standard doses.",
Vitamin B2 (Riboflavin low-dose),t2,False,Energy metabolism · Cellular function · B2,86,4,5,4,3,5,5,"At physiological doses of 1.1 to 1.3 mg per day, riboflavin is essential for the conversion of food into cellular energy via the electron transport chain. Deficiency causes cracked lips, sore throat, and light sensitivity. At 400 mg per day, it also prevents migraines (Cochrane confirmed). Water-soluble, so excess is simply excreted and turns urine bright yellow — completely harmless.",1.1–1.3 mg/day RDA for general health; 400 mg/day for migraine prevention (evidence-based),"Take with food. Urine turns bright yellow — this is harmless and confirms absorption. Water-soluble, so toxicity is not a concern at any tested dose. Morning with breakfast is ideal.",
Saccharomyces boulardii CNCM I-745,t1,False,Gut health · Antibiotic-associated diarrhoea · C. diff prevention,86,4,5,4,4,4,5,"A specific strain of the probiotic yeast S. boulardii with the strongest evidence for preventing antibiotic-associated diarrhoea and C. difficile recurrence. Cochrane reviews confirm it reduces AAD risk by approximately 50%. Uniquely resistant to antibiotics since it is a yeast, not a bacterium, so it can be taken simultaneously with antibiotics. Very safe in immunocompetent individuals.",250–500 mg twice daily during antibiotic course and 1 week after; proven for AAD and C. diff prevention,"Take at the same time as antibiotics — unlike bacterial probiotics, this yeast is not killed by antibiotics. Continue for 1 week after finishing the antibiotic course. Avoid in immunocompromised patients with central venous catheters.",
Melatonin (0.1-0.5 mg physiological dose),t1,False,Sleep onset · Jet lag · Circadian · Low dose · No grogginess,86,4,5,4,5,5,3,"At 0.1–0.5 mg, melatonin supplements achieve blood levels matching natural nighttime peaks (50–200 pg/mL). Small dose-response studies (Zhdanova 2001 and others) suggest 0.3 mg achieves physiological blood levels adequate for sleep onset; higher doses (5–10 mg) push levels 10–100× above physiological without clear added benefit and with more next-day grogginess. Chronic high-dose use may paradoxically suppress natural production. This low-dose form is the standard recommended in European, Canadian, and Australian guidelines. The standard 1–10 mg doses sold in US products are well above the effective physiological range.",0.1–0.3 mg for nightly sleep onset; 0.5 mg for jet lag. Take 30–60 minutes before desired sleep time.,"Start with 0.1 mg and only increase to 0.3–0.5 mg if no effect. Keep room dark after taking. Avoid high-dose products (5–10 mg) — more is not better. 0.1 mg tabs or liquid are available. Works best as part of good sleep hygiene, not as a standalone sleep aid.",Safe for continuous nightly use at physiological doses. No dependence or rebound shown at 0.1–0.5 mg. Does not suppress natural melatonin production unlike high doses.
L-Theanine + caffeine (cognitive stack),t2,False,Focus · Alertness · No jitters · 2:1 ratio · Studied combination,86,4,5,4,5,5,3,"The most rigorously studied natural cognitive combination. At a 2:1 ratio (200 mg L-theanine + 100 mg caffeine), multiple RCTs consistently demonstrate superior improvements in sustained attention, reaction time, and accuracy vs either alone. L-theanine promotes alpha-wave brain activity and modulates caffeine via NMDA receptor partial agonism, eliminating jitteriness, anxiety, and post-caffeine energy crashes while preserving alertness. Onset within 30–60 minutes. Used in virtually every major tech company supplement research programme. 1 cup of coffee (~100 mg caffeine) + L-theanine capsule replicates the studied ratio cost-effectively.",200 mg L-theanine + 100 mg caffeine taken simultaneously; or with morning coffee. Avoid after 2 pm.,The combination works best taken together — add L-theanine with your usual morning caffeine source. Coffee provides approximately 80–120 mg caffeine per cup. Avoid after 2 pm to prevent sleep disruption. No tolerance develops to the synergistic cognitive effect specifically.,Safe for daily continuous use. No tolerance to the theanine-caffeine interaction. Some caffeine tolerance builds but theanine continues to moderate its side effects regardless.
Melatonin,t2,False,Sleep onset · Jet lag · Circadian,85,4,4,5,5,4,4,"Your body's natural sleep hormone. Helps you fall asleep faster and resets your internal clock after jet lag or shift work. Meta-analyses confirm melatonin shortens sleep onset by about 7 minutes. Short-term use is safe, but daily long-term use has not been well studied. Most commercial products contain 5–10 mg, which is 10–30 times more than the 0.3–1 mg shown to be optimal. More is not better.","0.3–1 mg taken 30–60 min before bed; use only when needed (jet lag, shift work). Avoid habitual nightly use.",Take 30–60 min before your target bedtime in a dark environment. Avoid screens and bright light after taking. Do not drive or operate machinery.,"Use situationally — jet lag, shift work, or 2-4 week sleep reset. Avoid nightly long-term use above 1 mg. Chronic use may suppress natural melatonin production."
Whey protein,t1,False,Muscle synthesis · Sarcopenia,84,4,5,4,3,4,5,"A fast-digesting complete protein providing all essential amino acids. A 2024 meta-analysis of 78 trials (4,755 people) confirmed it significantly increases strength and lean muscle mass alongside resistance training. Particularly effective for older adults at risk of muscle loss. Whey isolate suits those who are lactose-sensitive. Very safe with an excellent long-term track record.",20–40 g per serving; aim for 1.6–2.2 g/kg/day total protein from all sources. Isolate for lactose sensitivity.,Mix with water or milk. Ideally take within 2 hours post-workout. Can be taken any time of day to meet protein targets. Isolate form if bloated by regular whey.,
Sodium bicarbonate (sports),t2,False,Buffering · Endurance · Sprint,84,4,4,4,5,5,4,"Buffers acid buildup in muscles during intense exercise, allowing you to push harder for longer. A 2024 meta-analysis of 40 trials confirmed it significantly improves sprint and high-intensity performance lasting 30 seconds to 12 minutes. Take 60–90 minutes before exercise with plenty of water. GI discomfort is the main side effect — split the dose or use enteric-coated capsules to reduce it.",0.2–0.3 g/kg body weight 60–90 min before exercise; split dose or use capsules to reduce GI distress,Take with a large glass of water 60–90 min before exercise. Avoid on an empty stomach — take with a light snack to reduce nausea. Do not mix with acidic drinks.,
Vitamin D3,t1,False,Bone · Immunity · Muscle,83,4,4,5,3,5,4,"About 40% of adults worldwide are deficient, especially those who spend little time outdoors. Essential for bone density, calcium absorption, immune function, and muscle strength. The VITAL trial found 2,000 IU/day reduced autoimmune disease risk by 22%. Deficiency is linked to higher infection rates and fractures. Test your blood level (25-OH vitamin D) before supplementing.","1,000–2,000 IU/day for maintenance; up to 4,000 IU/day to correct deficiency. Pair with Vitamin K2.",Take with a meal containing fat for best absorption. Best taken in the morning to avoid interfering with sleep. Pair with K2 to direct calcium into bones.,Safe for continuous daily use. Retest blood levels (25-OH-D) every 6-12 months to ensure you stay in the 40-60 ng/mL range. Reduce dose in summer if sun exposure increases.
Zinc,t1,False,Immunity · Cold duration,83,4,4,5,4,4,4,"Essential trace mineral involved in 300+ enzymatic reactions, immune function, wound healing, and male reproductive health. The 2024 WHO-commissioned Ali meta-analysis (38 RCTs, PMID 39641338) confirms zinc shortens diarrhea duration by 13.27 hours in children. The 2025 Robinson nutrition review (PMID 38684926) identifies zinc as one of three nutrients with consistent positive effects on PMS psychological symptoms. The 2025 Cheng nutraceutical NMA (PMID 40314175) shows Zinc + antidepressant therapy has a large effect size (SMD 1.59) in major depression. UL is 40 mg/day adult — chronic high-dose depletes copper.",Daily supplement: 15–30 mg/day with food. Acute cold: 75–92 mg/day as lozenges for up to 5 days. Do not exceed 40 mg/day long-term.,"Take with food to avoid nausea. Space 2 hours from copper, iron, and calcium. Long-term use above 25 mg/day requires 1–2 mg copper daily to prevent deficiency.",
Magnesium,t1,True,Sleep · Cognition · Metabolic,82,4,5,4,3,5,3,"Nearly half of adults don't get enough magnesium from diet alone. Involved in over 300 biochemical processes. Strong evidence supports improved sleep quality, lower blood pressure, better blood sugar control, and slower age-related cognitive decline. Glycinate is best for sleep and general use; L-threonate for brain health. Avoid oxide — poorly absorbed and mainly acts as a laxative.",200–400 mg/day elemental magnesium as glycinate or malate; L-threonate for cognition. Avoid oxide form.,"Take with food to reduce stomach upset. Best taken in the evening or before bed. Space 2 hours from iron, calcium, zinc, and antibiotics.",Safe for continuous daily use at recommended doses. No cycling needed. Excess is excreted by the kidneys in healthy individuals.
Vitamin B12,t2,False,Vegans · Elderly · Cognition,82,4,5,4,3,4,4,"Essential for nerve function, energy metabolism, and red blood cell production. About 20% of adults over 60 and 50%+ of vegans are deficient. Absorption declines with age and is impaired by metformin and acid-blocking medications. Deficiency causes fatigue and — if untreated for years — irreversible nerve damage. Sublingual or methylcobalamin forms absorb better in people with absorption problems.","500–1,000 mcg/day sublingual methylcobalamin or cyanocobalamin; confirm deficiency with serum B12 + MMA test","Sublingual: dissolve under the tongue for best absorption. Take in the morning as B12 can be energising. Space 2 hours from antacids and PPIs, which reduce absorption.",
Sodium bicarbonate (exercise buffer),t2,False,Performance · Acid buffering · Endurance,82,4,4,4,4,5,4,Proven ergogenic aid for high-intensity exercise lasting 1–7 minutes. Buffers lactic acid accumulation in muscles. ISSN and IOC both recognise it as an evidence-based performance supplement. A 2024 meta-analysis of 40 trials confirmed a small but significant performance improvement in repeated sprints and middle-distance events. Main limitation is GI distress at effective doses.,0.2–0.3 g/kg body weight 60–90 min before exercise; split dose or use enteric-coated capsules to reduce GI upset,Start with 0.2 g/kg to assess GI tolerance. Take with a small carbohydrate-rich meal. Enteric-coated capsules reduce stomach issues. Practice in training before competition.,
Magnesium glycinate,t1,False,Magnesium form · Sleep · Anxiety,82,4,5,4,3,4,4,"Magnesium chelated to two glycine molecules — the most-recommended form for sleep, anxiety, and general supplementation because the glycine ligand itself is calming (partial NMDA co-agonist and glycine receptor agonist). Superior tolerance vs oxide, citrate, and chloride — minimal laxative effect, making it the go-to form for continuous daily use at therapeutic doses. Slightly lower elemental magnesium per gram than smaller salts, but better-absorbed and far gentler on the gut.","200–400 mg elemental magnesium as glycinate, evening dose",Take 30-60 min before bed for sleep benefit; can be combined with magnesium taurate for cardio or L-threonate for cognition; very safe for long-term continuous use,
Methylcobalamin (high-dose neurological),t2,False,Neuropathy · Nerve repair · Sleep-wake cycle,81,4,5,3,3,4,5,"The neurologically active form of vitamin B12 that the brain and nervous system use directly without the conversion step required by cyanocobalamin. Multiple trials show methylcobalamin at 1,500 mcg per day specifically improves outcomes in peripheral neuropathy, sleep-wake cycle disorders, and age-related cognitive decline. Preferred over cyanocobalamin for neurological applications.","500–1,500 mcg/day sublingual for absorption; 1,500 mcg/day studied for neuropathy and circadian rhythm","Dissolve under the tongue for best absorption, especially if you are older. Take in the morning as B12 can be energising. Safe at all tested doses with no known upper toxicity.",
Potassium supplementation (clinical),t1,False,Blood pressure · Cardiovascular · Electrolyte,81,4,4,5,3,5,3,"WHO recommends adults consume at least 3,510 mg/day potassium. A 2024 meta-analysis of 32 trials confirmed supplementation reduces systolic blood pressure by 4.5 mmHg in hypertensive adults. The DASH diet, rich in potassium, is a cornerstone of hypertension management. Dangerous in kidney disease — always check renal function before supplementing. Balances sodium for cardiovascular protection.","99 mg/dose OTC limit in US; higher doses require prescription or dietary sources; target 3,500–4,700 mg/day total from diet and supplements","Prioritise dietary sources — bananas, potatoes, beans, leafy greens. OTC supplements are limited to 99 mg per dose. Avoid in kidney disease without monitoring. Space from ACE inhibitors and potassium-sparing diuretics.",
Calcium,t1,False,Bone · Muscle · Nerve,80,4,4,4,3,5,4,"Critical for bone density, muscle contraction, and nerve signaling. Most beneficial for postmenopausal women and those with low dietary intake. Maximum 500 mg per dose — split if taking more. Some meta-analyses link high supplement doses (1,000+ mg/day) to modest cardiovascular risk; food sources are preferable. Citrate form absorbs better than carbonate with low stomach acid.","500–1,000 mg/day supplemental in divided doses; citrate preferred. Pair with Vitamin D3 and K2. Prefer food sources where possible.","Take with meals for better absorption. Never take more than 500 mg at once. Avoid taking with iron, zinc, or magnesium at the same time — they compete for absorption.",
Lactobacillus rhamnosus GG,t1,False,Gut · IBS · Pediatric diarrhoea,80,4,5,4,3,3,4,"The most studied probiotic strain in the world, with decades of clinical research. The 2020 Cochrane review (Collinson, previously Allen) concluded probiotics including LGG probably shorten acute infectious diarrhoea in children by around 1 day. Separate systematic reviews also support LGG for preventing antibiotic-associated diarrhoea and modest benefit for some IBS symptoms. Very safe even in infants. Refrigerated strains maintain better viability.",10–20 billion CFU/day; refrigerated strains preferred for viability,Take on an empty stomach or 30 min before a meal for best survival. Avoid taking with hot drinks — heat kills live cultures. Keep refrigerated.,
Saccharomyces boulardii,t1,False,Gut · C. diff · Traveller diarrhoea,80,4,5,4,3,3,4,"A unique probiotic yeast that antibiotics cannot kill, making it the only probiotic you can take during an antibiotic course without it being destroyed. Cochrane confirms it significantly reduces C. difficile recurrence and traveler's diarrhea. Very safe with an excellent track record. An essential travel companion for high-risk destinations.",250–500 mg (5–10 billion CFU) × 2 daily; safe during antibiotic courses,"Take 1–2× daily with or without food, with cool or room-temperature water — not hot drinks. Unlike bacterial probiotics, this yeast survives antibiotics, so timing relative to antibiotics is not critical (still effective taken alongside).",
L-Carnitine,t1,False,Male fertility · Cardiac · Fat metabolism · Exercise recovery,80,4,5,4,2,4,4,"Essential transporter that shuttles long-chain fatty acids into mitochondria for energy production. Cochrane reviews of male subfertility find carnitine/acetyl-carnitine at 2–4 g/day modestly improves sperm motility and concentration; evidence for clinical pregnancy rates is less consistent. In cardiac patients, meta-analyses show it reduces angina, all-cause mortality after heart attack, and improves exercise capacity in heart failure. Distinct from ALCAR (which crosses the blood-brain barrier for cognitive effects) and carnitine tartrate (faster-absorbing exercise form). Total serum carnitine declines in vegans, dialysis patients, and elderly — these groups benefit most.",Male fertility: 2–3 g/day in divided doses. Cardiac support: 2–4 g/day under medical supervision. Athletic: 2 g with carbohydrate pre-exercise.,Take with carbohydrate-containing food for best muscle uptake — insulin drives carnitine into cells. Morning doses preferred for energy benefits. Cardiac patients should use under medical supervision. Vegetarians and vegans are commonly deficient.,Safe for continuous daily use. Male fertility benefits typically seen within 3–6 months. No cycling needed. Beneficial effects reverse on discontinuation.
Omega-3 (EPA/DHA),t1,False,Cardiovascular · Inflammation,79,4,4,5,3,4,3,"Essential fats that reduce inflammation and support heart health. Meta-analyses of 40,000+ people confirm omega-3s lower triglycerides and cardiovascular risk. The REDUCE-IT trial found 4 g/day high-dose EPA cut major cardiac events by 25% in high-risk patients. Also supports brain and joint health. NEW (2024 review, PMID 39617283): pharmaceutical doses of 1.8–4 g/day increase atrial-fibrillation risk by ~50% in RCTs (vagally-mediated), while dietary intake at ~650 mg/day from food is associated with LOWER AFib risk. Discuss high-dose use with your cardiologist if you have arrhythmia history.",1–4 g/day EPA+DHA with a fatty meal; higher doses (2–4 g) for triglycerides or inflammation,Take with a meal containing fat for best absorption. Store in the fridge to reduce fishy burps. Space 4 hours from blood thinners if applicable.,Safe for continuous daily use indefinitely. Benefits are cumulative and reverse if stopped. No cycling needed.
Bifidobacterium infantis 35624,t2,False,IBS · Bloating · Gut-brain axis,79,4,5,3,3,3,5,"The most studied probiotic strain specifically for irritable bowel syndrome. Multiple trials show it significantly reduces IBS symptoms including bloating, abdominal pain, and bowel irregularity. Also normalises inflammatory markers in IBS patients. Works through anti-inflammatory pathways and the gut-brain axis. The 35624 strain designation is important — other B. infantis strains have not been tested to the same standard.",1 billion CFU/day (Alflorex/Align brand); strain 35624 specifically — other B. infantis strains not equivalent,"Take at the same time daily, with or without food. Keep at room temperature as directed. Allow 4–8 weeks for full IBS benefit.",
Magnesium citrate,t1,False,Constipation · General Mg · Bioavailability,79,4,4,3,4,5,4,"One of the most widely available and affordable magnesium forms with good bioavailability. Better absorbed than magnesium oxide but causes more bowel stimulation than glycinate, making it useful for people with constipation. A 2024 review confirmed citrate is among the best-absorbed oral magnesium salts. Take with food to reduce stomach upset. Not the best choice if you have loose stools.",200–400 mg elemental Mg from magnesium citrate; useful for constipation; take with food,Take with food and water to reduce stomach upset. Evening is ideal as magnesium supports relaxation and sleep. Reduce dose if stools become too loose.,
Magnesium bisglycinate,t1,False,Sleep · Anxiety · Bioavailability,79,4,5,3,3,3,5,The glycinate-chelated form of magnesium that absorbs significantly better than oxide and has minimal laxative effect. Multiple trials confirm it improves sleep quality and reduces anxiety by activating GABA receptors. Ideal for people who get diarrhea from citrate or other forms. A 2024 review found it the best-tolerated form for daily use. Widely recommended by sleep and anxiety specialists.,200–400 mg elemental magnesium as bisglycinate before bed; best tolerated form for sleep and anxiety,"Take in the evening, 30–60 min before bed. No laxative effect at normal doses. Take with food if stomach-sensitive. Space 2 hours from antibiotics and iron.",
"Inositol (high-dose, psychiatric)",t2,False,OCD · Panic disorder · Mood,79,4,5,3,2,4,5,"At doses of 12 to 18 g per day, inositol has strong evidence as an add-on treatment for obsessive-compulsive disorder and panic disorder — comparable to SSRI effects in direct head-to-head trials. The brain uses inositol as a second messenger in serotonin signaling pathways, explaining its mood effects. Very safe with no toxicity even at high doses. Distinct from the lower-dose PCOS use.",12–18 g/day in 3 divided doses for OCD or panic disorder; 2–4 g/day for PCOS; extremely safe,Powder form dissolves easily in water. Split into 3 daily doses for psychiatric use. No significant drug or food interactions. Can be combined with NAC. Allow 4–6 weeks.,
Inositol myo-form (PCOS/metabolic),t2,False,PCOS · Insulin sensitivity · Ovulation,79,4,5,3,2,4,5,"One of the best-supported supplements for women with PCOS. At 2 to 4 g per day, multiple trials confirm it improves insulin sensitivity, helps restore regular ovulation, and lowers elevated androgens. The 40:1 ratio of myo to D-chiro-inositol mirrors what the body naturally produces. Also shows promise for mood and anxiety at higher doses. Very safe with minimal side effects even at 18 g daily.","2,000–4,000 mg/day myo-inositol; 40:1 myo:D-chiro combination preferred for PCOS",Can be taken with or without food. Split into 2 doses (morning and evening) for steady levels. Mild GI discomfort possible at higher doses — start low and increase gradually.,
Calcium carbonate/citrate (bone health),t1,False,Bone density · Osteoporosis · Pregnancy,79,4,4,5,2,5,3,"Essential mineral for bone density, muscle contraction, and nerve signalling. The Women Health Initiative confirmed calcium plus vitamin D reduces hip fracture risk in compliant women over 60. Citrate absorbs better on an empty stomach; carbonate requires food. Total intake including diet should reach 1,000–1,200 mg/day. Evidence suggests dietary calcium is preferable to supplements for cardiovascular safety.","500–600 mg/dose calcium (citrate or carbonate); total intake 1,000–1,200 mg/day including diet; always pair with vitamin D","Split into 500 mg doses for better absorption. Take carbonate with food, citrate any time. Space 2 hours from iron, zinc, and thyroid medication. Prioritise dietary calcium over supplements when possible.",
